product_id,name,description,price,currency,category,price_band,gift_eligible,gift_wrappable,is_new_arrival,is_bestseller,review_count,image_url
P031,Amethyst Cluster Pendant,A cluster of natural amethyst stones set in a raw-cut gold setting. New season statement.,310.0,USD,necklace,premium,False,True,True,False,6,/images/products/P031.jpg
P032,Malachite Bangle,"A solid malachite bangle in a gold-tone bezel setting. Premium artisan piece, new this season.",275.0,USD,bracelet,premium,False,True,True,False,8,/images/products/P032.jpg
P033,Pavé Stud Earrings,Fine pavé-set CZ studs in a push-back setting. New addition to the everyday essentials range.,160.0,USD,earrings,premium,False,True,True,False,43,/images/products/P033.jpg
P034,Tiger Eye Pendant Necklace,A polished tiger eye stone pendant on a fine gold-tone chain. New to the mineral collection.,150.0,USD,necklace,premium,False,True,True,False,16,/images/products/P034.jpg
P035,Classic Chain Necklace,A timeless curb chain necklace in silver-tone finish. The most versatile piece in any collection.,28.0,USD,necklace,entry,False,False,False,True,891,/images/products/P035.jpg
P036,Simple Hoop Earrings,Classic small hoop earrings in gold-tone. A staple that goes with everything.,22.0,USD,earrings,entry,False,False,False,True,1204,/images/products/P036.jpg
P037,Beaded Stretch Bracelet,Simple beaded stretch bracelet in natural stone tones. Comfortable and effortless everyday wear.,18.0,USD,bracelet,entry,False,False,False,True,756,/images/products/P037.jpg
P038,Thin Stud Earrings Pack (5),Five pairs of minimal stud earrings in a mix of shapes and finishes. Everyday essentials.,26.0,USD,earrings,entry,False,False,False,True,987,/images/products/P038.jpg
P039,Layered Chain Necklace,Two lengths of chain with a toggle clasp creating an effortless layered look. Everyday bestseller.,32.0,USD,necklace,entry,False,False,False,True,678,/images/products/P039.jpg
P040,Adjustable Ring,Open-band adjustable ring in silver-tone. Fits most sizes. A consistent bestseller.,20.0,USD,ring,entry,False,False,False,True,1102,/images/products/P040.jpg
P041,Teardrop Pendant Necklace,"A simple teardrop pendant on a fine chain. Minimal and elegant, popular across all age groups.",25.0,USD,necklace,entry,False,False,False,True,834,/images/products/P041.jpg
P042,Huggie Hoop Earrings,"Small huggie hoop earrings with a smooth hinge closure. Comfortable for all-day wear, consistent bestseller.",24.0,USD,earrings,entry,False,False,False,True,1389,/images/products/P042.jpg
P043,Bar Pendant Necklace,"A slim horizontal bar pendant on a delicate chain. Clean, modern, and perennially popular.",30.0,USD,necklace,entry,False,False,False,True,742,/images/products/P043.jpg
P044,Pearl Stud Earrings,Faux pearl stud earrings in classic white. Timeless and suitable for any occasion.,19.0,USD,earrings,entry,False,False,False,True,1567,/images/products/P044.jpg
P045,Multi-Strand Bead Necklace,Three strands of mixed-bead necklace in earth tones. Casual and versatile bestseller.,29.0,USD,necklace,entry,False,False,False,True,612,/images/products/P045.jpg
P046,Twisted Wire Bangle,A simple twisted wire bangle in gold-tone. Stackable and popular as a casual everyday piece.,23.0,USD,bracelet,entry,False,False,False,True,498,/images/products/P046.jpg
P047,Crescent Moon Necklace,A fine crescent moon pendant on a delicate chain. One of the consistently top-selling pieces.,27.0,USD,necklace,entry,False,False,False,True,923,/images/products/P047.jpg
P048,Statement Chain Earrings,Bold drop earrings featuring chunky chain links in gold-tone. A top-selling statement piece.,34.0,USD,earrings,entry,False,False,False,True,567,/images/products/P048.jpg
P049,Snake Chain Necklace,"A smooth snake-link chain necklace in silver-tone. Slim, polished and consistently popular.",31.0,USD,necklace,entry,False,False,False,True,781,/images/products/P049.jpg
P050,Mixed Metal Stacking Rings (4-pack),Four slim rings in alternating gold and silver tone for easy stacking. A top-selling introductory set.,33.0,USD,ring,entry,False,False,False,True,1045,/images/products/P050.jpg
